Layer,Name,GEOID,LEQ_2015-2019,COVIV_2021,FOR_2015-2019,HDX_2015-2019,UNS_2015-2019
,,,"Limited English proficiency (% of residents), 2015-2019","COVID-19 Vaccination Completion Rate (% of residents), 2021","Foreign born (% of residents), 2015-2019","Hardship Index (score), 2015-2019","Uninsured rate (% of residents), 2015-2019"
Zip code,"60601 (Chicago, IL)",60601,0.798253394282595,53.6,32.9045945766757,0.6845,2.92887029288703
Zip code,"60602 (Chicago, IL)",60602,0.0,81.0,12.0524017467249,1.07427,1.22270742358079
Zip code,"60603 (Chicago, IL)",60603,0.0,93.8,26.8060836501901,4.4695,8.36501901140684
Zip code,"60604 (Chicago, IL)",60604,1.1070110701107,74.5,24.6658566221142,7.24131,0.486026731470231
Zip code,"60605 (Chicago, IL)",60605,1.89554849534145,56.3,20.3922918100482,4.14752475247525,2.49699795154341
Zip code,"60606 (Chicago, IL)",60606,1.4321295143213,69.7,26.6808640097353,1.02638,4.13751140857925
Zip code,"60607 (Chicago, IL)",60607,1.21532742350586,55.1,17.5366128426587,26.6869786978698,4.03142443663428
Zip code,"60608 (Chicago, IL)",60608,14.4017110943875,44.2,27.7969997127119,72.9526647335267,13.0804844310194
Zip code,"60609 (Chicago, IL)",60609,13.7766250377503,36.0,26.3968886919707,85.8232053589282,14.5676614376718
Zip code,"60610 (Chicago, IL)",60610,0.671330829775194,52.2,14.5235276709086,7.76619,3.33781027707307
Zip code,"60611 (Chicago, IL)",60611,1.37326017545491,61.3,20.8915241993739,1.46706,1.76378521550686
Zip code,"60612 (Chicago, IL)",60612,1.87420584498094,36.5,9.19519786571809,67.70725,6.26020192249562
Zip code,"60613 (Chicago, IL)",60613,2.96450504840221,56.9,16.0103228856799,9.00284,5.1698875336607
Zip code,"60614 (Chicago, IL)",60614,1.17860912395919,50.8,12.081329738444,1.51137341202361,2.66313636490992
Zip code,"60615 (Chicago, IL)",60615,1.02242059373054,46.0,12.6829268292683,45.155804419558,6.96602061448932
Zip code,"60616 (Chicago, IL)",60616,15.8400829142835,43.6,38.1109655515988,53.67721,7.47829999437581
Zip code,"60617 (Chicago, IL)",60617,6.41843926273647,29.4,13.9360645338887,81.47144,8.5175692830966
Zip code,"60618 (Chicago, IL)",60618,10.3393190959044,45.6,25.1677958422456,34.12265,12.9602621010357
Zip code,"60619 (Chicago, IL)",60619,0.338297352910404,29.5,2.29712287810218,78.01481,9.09016554341425
Zip code,"60620 (Chicago, IL)",60620,0.183394203489192,26.5,1.91254005996072,82.81299870013,7.64444973655226
Zip code,"60621 (Chicago, IL)",60621,0.554016620498615,22.1,2.81961596116782,94.98658,12.0805369127517
Zip code,"60622 (Chicago, IL)",60622,5.61115800474296,54.3,13.4611776184936,12.26207,5.57413600891862
Zip code,"60623 (Chicago, IL)",60623,17.8566679962771,37.1,30.6620080459629,92.9560843915608,20.2118738129887
Zip code,"60624 (Chicago, IL)",60624,1.19801578635385,24.1,1.76544766708701,94.0582858285829,9.98317279795753
Zip code,"60625 (Chicago, IL)",60625,12.0097174343802,45.4,33.3278787573637,47.8474447444744,13.2062272646333
Zip code,"60626 (Chicago, IL)",60626,7.08489715471872,44.6,25.8171098448876,60.55958,12.4864411289167
Zip code,"60628 (Chicago, IL)",60628,0.843986801306604,27.5,2.6535312976624,83.2378762123788,8.29712749663989
Zip code,"60629 (Chicago, IL)",60629,14.0910529230282,39.8,30.1093348117314,87.1234546909382,13.8631860241051
Zip code,"60630 (Chicago, IL)",60630,9.94523836315217,43.4,30.3279995747169,40.0450254974503,9.74924417570692
Zip code,"60631 (Chicago, IL)",60631,2.09372610421294,48.7,14.8057841444004,14.6066706670667,2.09924977630945
Zip code,"60632 (Chicago, IL)",60632,21.2335935902217,42.0,40.3630212448668,88.496600679864,15.7062159507011
Zip code,"60633 (Chicago, IL)",60633,5.29259537524,26.3,15.2888328473481,66.6768,11.0045146726862
Zip code,"60634 (Chicago, IL)",60634,11.3058633491087,40.6,34.2838496577076,40.7211521152115,9.27650238133462
Zip code,"60636 (Chicago, IL)",60636,2.08769749689331,27.0,4.24993338662403,95.4414558544146,8.20863189468422
Zip code,"60637 (Chicago, IL)",60637,0.697863498803017,31.4,8.26215644820296,77.0743274327433,6.98223091311002
Zip code,"60638 (Chicago, IL)",60638,7.31769644975815,37.4,19.4566125210929,56.7513248675133,8.33660024885374
Zip code,"60639 (Chicago, IL)",60639,19.7969357532026,38.7,33.2501927350234,83.4372225554889,16.7578200507124
Zip code,"60640 (Chicago, IL)",60640,6.12161979143154,51.9,24.0301025042169,35.6503049695031,8.34889499919128
Zip code,"60641 (Chicago, IL)",60641,13.6895946255439,42.0,32.0835718374356,55.794899489949,13.7025275530585
Zip code,"60642 (Chicago, IL)",60642,3.07446808510638,55.7,12.6699127612092,4.36373,4.25035504159059
Zip code,"60643 (Chicago, IL)",60643,0.531613577933679,38.3,3.13989404136069,52.7913782756551,5.15187734410419
Zip code,"60644 (Chicago, IL)",60644,1.3848430202987,25.0,3.20662788950656,87.5296429642964,12.1742359700286
Zip code,"60645 (Chicago, IL)",60645,12.8384055265123,41.4,38.7116564417178,71.10575,12.6922336534554
Zip code,"60646 (Chicago, IL)",60646,4.57262402869097,48.9,19.8326857782912,28.681,4.36865839909808
Zip code,"60647 (Chicago, IL)",60647,10.619306718836,48.5,18.0993461367293,32.147494749475,9.77270646401758
Zip code,"60649 (Chicago, IL)",60649,1.36747029486796,25.5,4.30810799219437,79.7813755873238,8.24209378407852
Zip code,"60651 (Chicago, IL)",60651,8.29133363878566,31.3,15.2570402570403,83.776825365073,15.2671875984624
Zip code,"60652 (Chicago, IL)",60652,5.8475657636435,37.2,18.2613298961954,71.0191,8.82332539480682
Zip code,"60653 (Chicago, IL)",60653,0.667724447970382,29.7,4.11715026844423,77.70199,6.0211578915277
Zip code,"60654 (Chicago, IL)",60654,0.88718567903827,60.0,14.8586554789731,0.341244124412441,1.62548764629389
Zip code,"60655 (Chicago, IL)",60655,0.46534319060307,41.3,3.6193076411495,17.2817218278172,2.2996954741153
Zip code,"60656 (Chicago, IL)",60656,8.15489749430524,38.2,37.2599050251613,31.77455,9.95847677183518
Zip code,"60657 (Chicago, IL)",60657,0.730438412116334,57.4,11.5378110995237,2.15445544554455,3.47924315165208
Zip code,"60659 (Chicago, IL)",60659,12.5307249828954,37.4,47.7500877500878,80.1576857685769,12.6246317030053
Zip code,"60660 (Chicago, IL)",60660,7.35955188401704,48.5,29.0035507213807,43.33168,8.04396304555591
Zip code,"60661 (Chicago, IL)",60661,0.770634759683634,63.1,30.9542205910759,1.28146,2.54352030947776
Zip code,"60707 (Elmwood Park, IL)",60707,9.37392669643295,12.4,25.8557074234794,49.7192319231923,9.19097926724037
Zip code,"60827 (Riverdale, IL)",60827,0.849256900212314,2.3,3.20542077730576,82.54002,9.40474100087796
